,name,payment_modes,locality
0,Aman's Kitchen,,"Wadgaon Sheri, Pune"
1,The Belgian Waffle Co.,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
2,The Brooklyn Creamery - Healthy Ice Cream,,"Shivane, Pune"
3,Kynd Cafe & Bar,Cash and Cards accepted,"Mundhwa, Pune"
4,Momo’er,"
Digital payments accepted","Wadgaon Sheri, Pune"
5,Snack Shack Sandwich,"
Digital payments accepted","Shivaji Nagar, Pune"
6,Starters & Platters,,"Kharadi, Pune"
7,The Maratha,,"Pimple Saudagar, Pune"
8,Haldiram's Chaat,,"Kothrud, Pune"
9,Darjeeling Hot Momos,,"Parvati, Pune"
10,Shanaya Kitchen,,"Pimpri, Pune"
11,Krushnakala Misal,"Cash and Cards accepted
Digital payments accepted","Wadgaon Sheri, Pune"
12,Late Night Pizza,,"Hadapsar, Pune"
13,Wow Famous Darjeeling Momos,,"Magarpatta, Pune"
14,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"MG Road, Pune"
15,GLOBO Ice Creams Of The World,,"Wakad, Pune"
16,Hotel Radha Krishna World Of Veg,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
17,Natural Ice Cream,Cash and Cards accepted,"Bibvewadi, Pune"
18,Golden Chopsticx,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
19,Al Madina Biryani House,,"Sinhgad Road, Pune"
20,Sadguru Kitchen,,"Karve Nagar, Pune"
21,Biryani Bowl,,"Baner, Pune"
22,Hotel Shree  Bhojling,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
23,Street Deli,"
Digital payments accepted","Bavdhan, Pune"
24,Momo Bites,,"Hinjawadi, Pune"
25,Eatsome,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kothrud, Pune"
26,Crunchy Chicken Chunks,,"Kothrud, Pune"
27,Chowman's Delight,,"Viman Nagar, Pune"
28,Pizza 24By7,"
Digital payments accepted","Kondhwa, Pune"
29,Faasos,,"Hinjawadi, Pune"
30,Tales & Spirits,"Cash and Cards accepted
Digital payments accepted","Senapati Bapat Road, Pune"
31,Biryani Badshah,,"Baner, Pune"
32,Home Kitchen,,"Pimple Nilakh, Pune"
33,Night Sport Egg Bhurji,,"Dange Chowk, Pune"
34,KGN Xprs,"
Digital payments accepted","Chinchwad, Pune"
35,Panino Cafe ,"
Digital payments accepted","Chinchwad, Pune"
36,LunchBox - Meals and Thalis,,"Bavdhan, Pune"
37,Rasrang Pavbhaji & Pulav,,"Shukrawar Peth, Pune"
38,Cafe Durga,"
Digital payments accepted","Pimpri, Pune"
39,The Pizza Central,,"Magarpatta, Pune"
40,South Delight,,"Viman Nagar, Pune"
41,V'Burgs,,"Kharadi, Pune"
42,New Sai Sagar Pure Veg,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
43,Simple Bite,"
Digital payments accepted","Chandan Nagar, Pune"
44,Night Hungers Hut,,"Wadgaon Sheri, Pune"
45,7 Fortunes Cafe,"
Digital payments accepted","Viman Nagar, Pune"
46,Pampered Taste,,"Wadgaon Sheri, Pune"
47,Celebration Family Restro & Bar,Cash and Cards accepted,"Kharadi, Pune"
48,24foodcombos.in,,"Bavdhan, Pune"
49,Khatri Bandhu Pot Ice Cream And Mastani,"Cash and Debit Cards accepted
Digital payments accepted","Ravet, Pune"
50,Khichdi Experiment,,"Hinjawadi, Pune"
